SKU,name,URL to product,price,Retail Price,URL to image,URL to thumbnail image,Commission,Category,Subcategory,Description,SearchTerms,Status,MerchantID,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,StoreID,Manufacturer,PartNumber,MerchantCategory,MerchantSubCategory,ShortDescription,ISBN,UPC,CrossSell,MerchantGroup,MerchantSubgroup,CompatibleWith,CompareTo,QuantityDiscount,Bestseller,AddToCartURL,ReviewsRSSURL,Option1,Option2,Option3,Option4,Option5,ReservedForFutureUse1,ReservedForFutureUse2,ReservedForFutureUse3,ReservedForFutureUse4,ReservedForFutureUse5,ReservedForFutureUse6,ReservedForFutureUse7,ReservedForFutureUse8,ReservedForFutureUse9
AST422,Bed Rail Advantage Traveler,http://www.wrightstuff.biz/bedraad.html,64.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bedraad.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bedraad.jpg,,12,183,The Bed Rail Advantage Traveler offers a helping hand to a sitting position in bed. No assembly required - pops out of box ready to be placed on any bed. Quality steel construction - heavy duty steel with powder coat provides long lasting quality. Portable handle folds down for storage and portability. Safety strap secures base to mattress. Foam Grip provides comfortable cushion grip; closed cell foam is easy to sanitize. Fits on either side of the bed.Includes a free Bed Rail Advantage Organizer - a $19.95 value!Ships via UPS Ground. Bed Rail Advantage Traveler Features: Quality steel construction. Folding portable handle folds down for easy storage. Safety strap secures base to mattress. Fits on either side of the bed. Foam Grip provides comfortable grip. Includes a free Bed Rail Advantage Organizer. Bed Rail Advantage Traveler Specifications: No assembly required. Weight Capacity: 400 lbs. Rail Height: 22?. Rail Width: 17?. Base Dimensions: 21? x 17?. Weight of product: 8 lbs.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",897564000511,On The Move,"Bed, Chair and Couch Standing Aids",Free Bed Rail Advantage Organizer!,,897564000511,,,,,,,,,,,,,,,,,,,,,,,
AAM200,Bath Kit,http://www.wrightstuff.biz/bathkit.html,19.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bathkit.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bathkit.jpg,,12,183,The Bath Kit is ideal for people who have difficulty bending and reaching their feet. Soft foot brush mounted on extra long handle. Total is length 22 inches. Includes 2 toe sponges and 2 round sponges to screw on end of handle. Great value.* No extra replacement sponges. Bath Kit Includes: 2 toe sponges. 2 round sponges. Soft foot brush mounted on extra long handle.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",52598520026,Getting Ready,Long Handle Bath Sponges and Bath Brushes,Great for people who have difficulty reaching their feet.,,052598520026,,,,,,,,,,,,,,,,,,,,,,,
ATP1220,Big Button Universal Remote,http://www.wrightstuff.biz/bigbuunre.html,19.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bigbuunre.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bigbuunre.jpg,,12,183,"The Big Button Universal Remote has large buttons and bold easy to read characters that make this remote user friendly! The extra large frame is easy to grasp and difficult to misplace. Features a touch sensitive lighted keypad for operation in the dark. The Big Button Universal Remote replaces up to 4 standard remotes and can be used with any combination of TVs, VCRs, and cable boxes. (Batteries not included). Big Button Universal Remote Features: Large bold buttons. Easy to read characters. Lighted keypad. Replaces up to 4 standard remotes. Extra large easy to grasp frame. Big Button Universal Remote Specifications: 2 1/4 inches wide. 9 1/2 inches long. 1 1/2 inches deep. Requires 2 AA batteries.(Batteries not included).",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111336,Around the House,Large Button Universal Remotes,Replaces up to 4 different remotes!,,,,,,,,,,,,,,,,,,,,,,,,,
CMT96314,Auto HandyBar Car Transfer Aid,http://www.wrightstuff.biz/auhabartraid.html,29.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/auhabartraid.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/auhabartraid.jpg,,12,183,"Winner of Best New Product, Medtrade West April 2001Prescribed by Doctors & Recommended by Health professionals. Fits over 170 million vehicles in North America.The Auto Handy Bar Transfer Aid device locks securely, and reliably, into position. In addition, it is easy to insert and remove, and it is strong, durable and affordable. The material is forged steel with corrosion resistant plating. At just 0.7 lb., and measuring approx. 9 in. long, the Handybar™ is sufficiently lightweight, and compact, for it to be carried around in a handbag or pack. The precisely shaped nose locks the Handybar securely into position with little effort and enables it to be removed just as easily. It is also cranked, or bent, over its length to enable it to be reversed to give just the right height and angle of grip for getting in and out of a vehicle. Smaller, more compact cars tend to be lower down, closer to the ground making it even more difficult to get in and out of them. Fortunately, the U-type striker plate is one of the most rugged components in a vehicle being designed to keep the door closed in the event of a side-impact crash. There is a striker on each of the door pillars enabling the Handybar to be used by both the driver and passengers.Includes seat belt cutter and side window breaker. Weight limit 350 lbs. Auto Handy Bar Transfer Aid Features: Handle helps getting in and out of cars. Can be used on either side of the vehicle. Precisely shaped nose locks securely into position. Small enough to fit into a handbag or pack. Auto Handy Bar Transfer Aid Specifications: Handy bar hooks/locks onto the striker of a car. Weight -0.7 lb. 9 inches long. Weight limit 350 lbs. Fits 95% of all newer cars.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",696314100026,On The Move,Car Transfer Aids,Makes transferring in and out of your car easier.,,696314100026,,,,,,,,,,,,,,,,,,,,,,,
CSE200,Comfort Cape,http://www.wrightstuff.biz/comfortcape.html,69.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/comfortcape.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/comfortcape.jpg,,12,183,"The Comfort Cape is a lightweight, durable fabric tray which is positioned between the back of the individuals head and the shampoo sink behind them. The device is flexible and has the ability to conform over and around any chair. It is firm enough to hold its shape while fastening. Multiple neck sizes assure a comfortable fit.Adjusts to the neck with buckle fasteners and hook-and-loop straps for a snug fit. Allows individuals to remain upright in a comfortable seated position while reducing risk of back strain for the caregiver. Measures 3 inches deep, 23 inches wide, 25 inches long. Royal Blue. Comfort Cape Features: Reduces risk of back pain. Buckle fasteners and hook-and-loop straps. Lightweight, durable fabric tray. Has the ability to conform over and around any chair. Comfort Cape Specifications: Measures 3 in. deep, 23 in. wide, 25 in. long. Royal Blue. Made in the USA.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111693,Getting Ready,Adaptive Bathing Aids,Allows individuals to remain upright in a comfortable seated position.,,,,,,,,,,,,,,,,,,,,,,,,,
AKE37001,Basic Hip Kit with 26 inch Ergo Plus Reacher,http://www.wrightstuff.biz/bahipkitwi26.html,46.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bahipkitwi26.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bahipkitwi26.jpg,,12,183,Offers the most recommended ADL items for patients recovering from hip or knee surgery. Hip kits are a must have for people who have had or are getting ready to have hip or knee surgery. Basic Hip Kit with 26 inch Ergo Plus Reacher Features: Recommended ADL equipment for patients recovering from hip/knee surgery or injury. Essential items to have if you are preparing for hip or knee surgery. Also for people who suffer from limited motion or arthritis. Save money by purchasing the kit. Basic Hip Kit includes: 1 Sock Aid with Foam Handles. Black Elastic Shoe Laces 24 inch package of 2 pair. White Elastic Shoe Laces 24 inch package of 2 pair. 1 Ergo Plus 26 inch Reacher. 1 Economy Dressing Stick. 1 Stainless Steel Shoe Horn 24 inch. 1 Long Handle Contoured Bath Sponge 18 inch.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",111215,Getting Ready,Hip and Knee Rehab Kits,Offers the most recommended ADL items for patients recovering from hip or knee surgery.,,873704001433,,Basic Hip Kits,,,,,,,,,,,,,,,,,,,,,
CAC20401,Action Polymer Heel and Elbow Pads 1/2 inch,http://www.wrightstuff.biz/12inthheande.html,89.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/12inthheande.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/12inthheande.jpg,,12,183,"Action Polymer Heel and Elbow Pads 1/2 inch is recommended for people at risk or diagnosed with compromised skin disorders. Pad allows clients taking medication that affects skin integrity or persons who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows. Sold as a pair. Action Polymer Heel and Elbow Pads 1/2 inch Features: Contours to shape of elbow or heel. Won't rub or irritate. Fits snuggly and comfortably while allowing one to move freely. Action Polymer Heel and Elbow Pads 1/2 inch Specifications: Sold as a pair. Non returnable if packaging is opened.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111351,For Your Comfort,Pillows and Bed Positioning Aids,Fits snuggly & comfortably while allowing one to move freely.,,,,Elbow Pads,Akton Polymer Heel and Elbow Protectors,,,,,,,,,,,,,,,,,,,,
AMI3003,Big Lamp Switch  Package of 3,http://www.wrightstuff.biz/biglampswitch.html,22.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/biglampswitch.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/biglampswitch.jpg,,12,183,This Big Lamp Switch knob has three large spokes to create more leverage for turning lamp switches. Just unscrew and remove your regular switch and replace with this one. Fits most standard lamps. Big Lamp Switch is 2 inches in diameter. Big Lamp Switch Features: Three large spokes. Creates more leverage for turning lamp switches. Big Lamp Switch Specifications: 2 inches in diameter. Comes in a package of 3.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",754146111,Around the House,"Door, Knob and Lamp Switch Turners",Help for weak hands.,,,,Big Lamp Switch,,,,,,,,,,,,,,,,,,,,,
AMCPKTCF,Easi-Grip Carving Fork,http://www.wrightstuff.biz/carvingfork.html,11.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/carvingfork.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/carvingfork.jpg,,12,183,"The Easi-Grip Carving Fork easily pierces many meats and aids in holding food while cutting. Carving Fork measures 5 3/4 inches long.The handles of Easi-Grip Knives and Utensils are molded in a soft feel plastic, which gives a firm comfortable grip in either hand. The stainless steel tools are setat 90 degrees from the handle, keeping the hand and wrist in a neutral stress free position. Easi-Grip Knives and Kitchen Tools are supremely comfortable for everyone to use, but will be particularly beneficial for those with arthritis, Repetitive Strain Injury, Carpal Tunnel Syndrome or other conditions which weaken the hand and wrist. All items are dishwasher safe. Easi-Grip Carving Fork Features: Blade is set at 90 degrees from the handle. Unique handle keeps hand and wrist in a stress free position. Easi-Grip Carving Fork Specifications: Length - 5 3/4 in. Dishwasher safe.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111255,In the Kitchen,Adaptive Knives,Easily pierces many meats and aids in holding food while cutting.,,,,Easi-Grip Knives and Utensils,,,,,,,,,,,,,,,,,,,,,
AMCPKTCK,Easi-Grip Carving Knife,http://www.wrightstuff.biz/carvingknife.html,11.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/carvingknife.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/carvingknife.jpg,,12,183,"The Easi-Grip Carving Knife easily slices through many varieties of meats. Carving Knife has an 8 inch long x 1 inch wide smooth edge blade.The handles of Easi-Grip Knives and Utensils are molded in a soft feel plastic, which gives a firm comfortable grip in either hand. The stainless steel tools are setat 90 degrees from the handle, keeping the hand and wrist in a neutral stress free position. Easi-Grip Knives and Kitchen Tools are supremely comfortable for everyone to use, but will be particularly beneficial for those with arthritis, Repetitive Strain Injury, Carpal Tunnel Syndrome or other conditions which weaken the hand and wrist. All items are dishwasher safe. Easi-Grip Carving Knife Features: Soft feel plastic handles. Smooth edge blade cuts through any meat. Angle of handle keeps arm, wrist, and hand in a stress free position. Easi-Grip Carving Knife Specifications: Blade Length - 8 in. Blade Width - 1 in. Dishwasher safe.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",5036366300039,In the Kitchen,Adaptive Knives,Easily slices through many varieties of meats.,,,,Easi-Grip Knives and Utensils,,,,,,,,,,,,,,,,,,,,,
AKE37002,Basic Hip Kit with 32 inch Ergo Plus Reacher,http://www.wrightstuff.biz/bahipkitwi32.html,47.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bahipkitwi32.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bahipkitwi32.jpg,,12,183,Offers the most recommended ADL items for patients recovering from hip surgery. Hip kits are a must have for people who have had or are getting ready to have hip or knee surgery. Basic Hip Kit with 32 inch Ergo Plus Reacher Features: Recommended ADL equipment for patients recovering from hip/knee surgery or injury. Essential items to have if you are preparing for hip or knee surgery. Also for people who suffer from limited motion or arthritis. Basic Hip Kit includes: 1 Sock Aid with Foam Handles. Black Elastic Shoe Laces 24 inch package of 2 pair. White Elastic Shoe Laces 24 inch package of 2 pair. 1 Ergo Plus Reacher 32 inch. 1 Dressing Stick. 1 Stainless Steel Shoe Horn 24 inch. 1 Long Handle Contoured Bath Sponge 18 inch.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",873704001440,Getting Ready,Hip and Knee Rehab Kits,Hip kits are a must have for people who have had or are getting ready to have hip or knee surgery.,,873704001440,,Basic Hip Kits,,,,,,,,,,,,,,,,,,,,,
NC28370,12 inch Body Care Long Handle Comb,http://www.wrightstuff.biz/bocalohaco12.html,12.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bocalohaco12.gif,http://feeds2.yourstorewizards.com/1931/images/100x500/bocalohaco12.gif,,12,183,Body Care Long Handle Comb has firm curved bristles designed follow the shape of the head. This means that the handle can be held close to the body without losing power or reach. Body Care Long Handle Comb and brushes are great for people with limited arm or hand movement. Anti-slip handles are ergonomically designed to lie against user's entire palm. Contoured design is both attractive and functional. Made of polypropylene. Body Care Long Handle Comb 12 inch Features: Firm curved bristles. Handle is designed to lie against user's entire palm. Anti-slip handles. Attractive and functional contoured design.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",7320450124501,Getting Ready,Body Care Long Handle Hair Brushes and Combs,Firm bristles. 12 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,
ADM1366,Universal Cane Wrist Strap,http://www.wrightstuff.biz/canewriststrap.html,5.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/canewriststrap.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/canewriststrap.jpg,,12,183,"The Cane Wrist Strap Helps keep your cane at your side, and eliminates the awkwardness of trying to find a place to set it down. A black wrist strap connects to a rubber strip that fits most standard wood and aluminum canes. Cane Wrist Strap Features: Black 9½"" loop strap. Attaches easily to the shaft of most wood and aluminum canes by sliding over the tip of the cane. Allows you to comfortably wear the Cane Strap around your wrist while the cane is in use.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",41298013662,On The Move,Walking Canes and Cane Accessories,No more bending and stooping to pick up a dropped cane!,,,,,,,,,,,,,,,,,,,,,,,,,
AEZ230,32 inch EZ Reacher,http://www.wrightstuff.biz/30inezre.html,16.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/30inezre.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/30inezre.jpg,,12,183,The 32 inch EZ Reachers with round silicone tips provide a powerful and secure grip with delicate sensitivity. Constructed of lightweight aluminum with a stainless steel spring mechanism for heavy-duty use. The handle is comfortable to hold and has an easy-to-operate pistol grip full finger trigger. EZ Reachers will handle objects of different shapes and sizes up to 5 lbs. The jaws open to 4.5 inches wide.32 inch model weighs 10 1/2 oz. 32 inch EZ Reacher Features: Round silicone tips provide a powerful and secure grip. Constructed of lightweight aluminum. Stainless steel spring mechanism for heavy-duty use. 32 inch EZ Reacher Specifications: Lift objects up to 5 lbs. Jaws open to 4.5 inches wide. 32 inch model weighs 10 1/2 oz.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",111190,Around the House,Reaching Aids,Handles objects of different shapes and sizes up to 5 lbs.,,,,EZ Reachers,,,,,,,,,,,,,,,,,,,,,
ARB300R,Book holder replacement pegs package of 2,http://www.wrightstuff.biz/bohorepepaof.html,4.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/bohorepepaof.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/bohorepepaof.jpg,,12,183,These Book holder replacement pegs are placed in the appropriate holes on the Roberts Book Holder to accommodate the width and thickness of the material. The pegs keep the book in position and prevent unwanted flipping of the pages while allowing for ease in turning pages. Package of 2 pegs. Book holder replacement pegs Features: Keep book in position. Prevent unwanted flipping of the pages. Book holder replacement pegs Specifications: Package of 2 pegs.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",732310001,Around the House,Adaptive Reading Aids,Keep book in position.,,,,Roberts Book Holder,,,,,,,,,,,,,,,,,,,,,
